Хозяева,Гости,Голы хозяев,Голы гостей,Владение мячом хозяев,Владение мячом гостей,Удары по воротам хозяев,Удары по воротам гостей,Удары в створ хозяев,Удары в створ гостей,Удары мимо хозяев,Удары мимо гостей,Заблокированные удары хозяев,Заблокированные удары гостей,Сэйвы хозяев,Сэйвы гостей,Фолы хозяев,Фолы гостей,Угловые удары хозяев,Угловые удары гостей,Штрафные удары хозяев,Штрафные удары гостей,Вне игры хозяев,Вне игры гостей,Удары от ворот хозяев,Удары от ворот гостей,Автоголы хозяев,Автоголы гостей,Забитые пенальти хозяев,Забитые пенальти гостей,Незабитые пенальти хозяев,Незабитые пенальти гостей,Вбрасывания хозяев,Вбрасывания гостей
Аугсбург,Майнц, 2 , 1 ,56%,44%,15,7,4,4,11,3,2,7,3,2,15,14,8,2,17,15,0,3,5,14,0,0,1,0,0,0,31,16
Унион Берлин,Кёльн, 2 , 0 ,55%,45%,6,8,5,4,1,4,1,1,4,3,21,19,3,5,19,22,1,0,10,11,0,0,0,0,0,0,25,25
ФК Бавария,Вердер, 6 , 1 ,55%,45%,23,6,15,3,8,3,2,1,2,8,15,15,8,2,18,15,0,3,6,16,0,0,0,0,0,0,19,11
Вольфсбург,Боруссия М, 2 , 1 ,48%,52%,14,6,6,6,8,0,3,0,5,4,20,16,5,2,16,22,2,0,2,11,0,0,0,0,0,0,18,23
Хоффенхайм,Аугсбург, 2 , 4 ,70%,30%,13,5,5,4,8,1,3,0,0,3,10,6,11,1,11,16,6,5,4,13,0,0,0,1,0,0,29,14
Фортуна,РБ Лейпциг, 0 , 3 ,27%,73%,3,13,1,7,2,6,1,3,4,1,11,7,3,9,7,11,0,0,13,6,0,0,0,1,0,0,12,15
Герта,Фрайбург, 1 , 0 ,41%,59%,9,9,4,3,5,6,3,4,3,3,10,7,4,7,8,10,0,1,11,8,0,0,0,0,0,0,17,29
Майнц,Боруссия Д, 0 , 4 ,35%,65%,5,12,0,7,5,5,2,6,3,0,9,10,3,5,11,10,2,1,6,8,0,0,0,0,0,0,18,21
Шальке-04,Айнтрахт Ф, 1 , 0 ,52%,48%,9,11,5,4,4,7,2,3,4,4,16,12,7,6,12,19,3,0,12,5,0,0,0,0,0,0,14,28
Кёльн,Байер, 2 , 0 ,33%,67%,9,4,4,2,5,2,4,1,2,2,12,9,3,4,10,20,8,2,8,10,0,0,0,0,0,0,23,20
Падерборн,Унион Берлин, 1 , 1 ,52%,48%,6,7,4,2,2,5,4,4,1,3,18,16,2,3,18,19,1,2,11,4,0,0,0,0,0,0,30,40
Боруссия Д,РБ Лейпциг, 3 , 3 ,58%,42%,11,9,8,7,3,2,1,2,4,5,9,5,12,3,7,12,3,2,3,6,0,0,0,0,0,0,27,33
Байер,Герта, 0 , 1 ,67%,33%,14,8,7,5,7,3,3,1,4,7,12,15,5,4,16,16,4,1,4,9,0,0,0,0,0,0,25,16
Боруссия М,Падерборн, 2 , 0 ,52%,48%,10,8,8,3,2,5,6,2,2,4,7,13,8,4,15,12,5,2,7,6,0,0,1,0,0,0,34,24
Вольфсбург,Шальке-04, 1 , 1 ,52%,48%,19,8,9,2,10,6,7,0,1,8,14,11,12,5,11,16,2,0,9,10,0,0,0,0,0,0,24,17
Айнтрахт Ф,Кёльн, 2 , 4 ,38%,62%,13,15,6,9,7,6,3,4,5,4,12,10,7,10,11,14,2,1,10,9,0,0,0,0,0,0,31,15
Вердер,Майнц, 0 , 5 ,60%,40%,9,11,4,8,5,3,2,4,4,4,14,14,8,5,16,14,0,2,6,9,1,0,0,0,0,0,18,13
Фрайбург,ФК Бавария, 1 , 3 ,33%,67%,13,17,5,9,8,8,2,3,6,4,6,8,6,8,9,9,3,1,15,10,0,0,0,0,0,0,16,21
Аугсбург,Фортуна, 3 , 0 ,45%,55%,7,5,5,2,2,3,2,0,2,2,11,14,4,2,15,16,5,1,4,5,0,0,0,0,0,0,27,19
Унион Берлин,Хоффенхайм, 0 , 2 ,54%,46%,11,6,4,4,7,2,1,1,2,4,18,14,6,1,15,22,4,1,8,10,0,0,0,0,0,0,23,28
ФК Бавария,Вольфсбург, 2 , 0 ,68%,32%,14,5,8,3,6,2,5,3,3,6,10,10,12,6,13,13,3,3,3,13,0,0,0,0,0,0,28,13
РБ Лейпциг,Аугсбург, 3 , 1 ,77%,23%,17,3,7,2,10,1,1,1,1,3,8,10,11,4,13,15,7,3,4,17,0,0,0,0,0,0,28,19
Хоффенхайм,Боруссия Д, 2 , 1 ,44%,56%,9,8,4,4,5,4,2,3,3,2,8,12,0,8,14,13,5,2,9,6,0,0,0,0,0,0,21,15
Фортуна,Унион Берлин, 2 , 1 ,53%,47%,15,7,7,3,8,4,2,5,2,5,13,21,7,5,22,13,0,1,10,10,0,0,0,0,0,0,30,14
Герта,Боруссия М, 0 , 0 ,45%,55%,6,8,0,5,6,3,0,2,5,0,12,11,1,7,17,13,1,6,11,8,0,0,0,0,0,0,24,17
Майнц,Байер, 0 , 1 ,44%,56%,12,8,3,3,9,5,6,5,2,4,8,9,6,6,12,15,7,3,6,11,0,0,0,0,0,0,24,27
Шальке-04,Фрайбург, 2 , 2 ,56%,44%,12,15,6,6,6,9,5,3,4,4,9,13,7,5,14,11,2,1,11,14,0,0,0,2,0,0,21,17
Кёльн,Вердер, 1 , 0 ,51%,49%,6,3,1,1,5,2,0,1,1,0,11,21,1,7,22,15,4,1,3,12,0,0,0,0,0,0,26,31
Падерборн,Айнтрахт Ф, 2 , 1 ,48%,52%,11,12,5,4,6,8,6,2,3,3,10,10,3,8,11,13,3,1,13,11,0,0,0,0,0,0,33,18
РБ Лейпциг,Унион Берлин, 3 , 1 ,60%,40%,12,9,7,5,5,4,5,1,4,4,8,20,4,4,24,11,3,4,4,11,0,0,0,0,0,0,23,24
